"";"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";"outcome_type";"instrument";"rating";"mean_arm1";"sd_arm1";"n_arm1";"mean_arm2";"sd_arm2";"n_arm2";"mean_change_arm1";"mean_change_arm2";"sd_change_arm1";"sd_change_arm2";"n_change_arm1";"n_change_arm2";"dich_paper";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"other_stat";"bl_mean_arm1";"bl_sd_arm1";"bl_n_arm1";"bl_mean_arm2";"bl_sd_arm2";"bl_n_arm2";"rand_arm1";"rand_arm2";"attr_arm1";"attr_arm2";"year";"time_weeks";"time";"comorbid_mental";"format";"format_details";"n_sessions_arm1";"country";"age_group";"mean_age";"percent_women";"recruitment";"target_group";"rob";"rob_domain1";"rob_domain2";"rob_domain3";"rob_domain4";"rob_domain5";".id";".g";".g_se";"notes";"full_ref"
"68";"Clark, 2006";"Exposure";"wlc";"Exposure + Applied relaxation";"wlc";"msd";"LSAS";"cr";52,32;33,89;21;77,21;21,36;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;78,7;23,7;21;77,19;22,48;20;"21";"20";"2";"0";2006;14;"post";"n";"ind";"ind";"14";"Europe";"adul";"31.95";0,44;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Clark_2006_msd_LSAS_post_NA_cr_Exposure+Appliedrelaxation_wlc_Exposure+Appliedrelaxation_wlc";0,856949199489885;0,327004099916716;NA;"Clark, D. M., Ehlers, A., Hackmann, A., McManus, F., Fennell, M., Grey, N., Waddington, L., & Wild, J. (2006). Cognitive therapy versus exposure and applied relaxation in social phobia: A randomized controlled trial. J Consult Clin Psychol, 74(3), 568-578. https://doi.org/10.1037/0022-006x.74.3.568 "
"69";"Clark, 2006";"cbt";"wlc";"cbt";"wlc";"msd";"SIAS";"self-report";18,19;10,01;21;46,25;13,23;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43,57;17,8;21;47,65;11,03;20;"21";"20";"0";"0";2006;14;"post";"n";"ind";"ind";"14";"Europe";"adul";"31.95";0,44;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Clark_2006_msd_SIAS_post_NA_self-report_cbt_wlc_cbt_wlc";2,35387528063976;0,409734626696373;NA;"Clark, D. M., Ehlers, A., Hackmann, A., McManus, F., Fennell, M., Grey, N., Waddington, L., & Wild, J. (2006). Cognitive therapy versus exposure and applied relaxation in social phobia: A randomized controlled trial. J Consult Clin Psychol, 74(3), 568-578. https://doi.org/10.1037/0022-006x.74.3.568 "
"70";"Clark, 2006";"Exposure";"wlc";"Exposure + Applied relaxation";"wlc";"msd";"SIAS";"self-report";32,57;16,08;21;46,25;13,23;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50,61;17,18;21;47,65;11,03;20;"21";"20";"2";"0";2006;14;"post";"n";"ind";"ind";"14";"Europe";"adul";"31.95";0,44;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Clark_2006_msd_SIAS_post_NA_self-report_Exposure+Appliedrelaxation_wlc_Exposure+Appliedrelaxation_wlc";0,908863536887802;0,328776801220661;NA;"Clark, D. M., Ehlers, A., Hackmann, A., McManus, F., Fennell, M., Grey, N., Waddington, L., & Wild, J. (2006). Cognitive therapy versus exposure and applied relaxation in social phobia: A randomized controlled trial. J Consult Clin Psychol, 74(3), 568-578. https://doi.org/10.1037/0022-006x.74.3.568 "
"71";"Clark, 2006";"cbt";"wlc";"cbt";"wlc";"msd";"SPAI sps";"self-report";56,53;34,92;21;122,81;27,26;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;118,98;33,76;21;127,8;22,33;20;"21";"20";"0";"0";2006;14;"post";"n";"ind";"ind";"14";"Europe";"adul";"31.95";0,44;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Clark_2006_msd_SPAIsps_post_NA_self-report_cbt_wlc_cbt_wlc";2,06850168193213;0,389715716766027;NA;"Clark, D. M., Ehlers, A., Hackmann, A., McManus, F., Fennell, M., Grey, N., Waddington, L., & Wild, J. (2006). Cognitive therapy versus exposure and applied relaxation in social phobia: A randomized controlled trial. J Consult Clin Psychol, 74(3), 568-578. https://doi.org/10.1037/0022-006x.74.3.568 "
"72";"Clark, 2006";"Exposure";"wlc";"Exposure + Applied relaxation";"wlc";"msd";"SPAI sps";"self-report";96,11;45,14;21;122,81;27,26;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;131;32,05;21;127,8;22,33;20;"21";"20";"2";"0";2006;14;"post";"n";"ind";"ind";"14";"Europe";"adul";"31.95";0,44;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Clark_2006_msd_SPAIsps_post_NA_self-report_Exposure+Appliedrelaxation_wlc_Exposure+Appliedrelaxation_wlc";0,698043182856473;0,322177237178186;NA;"Clark, D. M., Ehlers, A., Hackmann, A., McManus, F., Fennell, M., Grey, N., Waddington, L., & Wild, J. (2006). Cognitive therapy versus exposure and applied relaxation in social phobia: A randomized controlled trial. J Consult Clin Psychol, 74(3), 568-578. https://doi.org/10.1037/0022-006x.74.3.568 "
"73";"Clark, 2006";"cbt";"wlc";"cbt";"wlc";"msd";"SPS";"self-report";8,95;6,03;21;32,4;15,12;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29,33;13,49;21;32,3;12,55;20;"21";"20";"0";"0";2006;14;"post";"n";"ind";"ind";"14";"Europe";"adul";"31.95";0,44;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Clark_2006_msd_SPS_post_NA_self-report_cbt_wlc_cbt_wlc";2,01671661800799;0,386258434017225;NA;"Clark, D. M., Ehlers, A., Hackmann, A., McManus, F., Fennell, M., Grey, N., Waddington, L., & Wild, J. (2006). Cognitive therapy versus exposure and applied relaxation in social phobia: A randomized controlled trial. J Consult Clin Psychol, 74(3), 568-578. https://doi.org/10.1037/0022-006x.74.3.568 "
"74";"Clark, 2006";"Exposure";"wlc";"Exposure + Applied relaxation";"wlc";"msd";"SPS";"self-report";20,24;16,1;21;32,4;15,12;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34,26;15,89;21;32,3;12,55;20;"21";"20";"2";"0";2006;14;"post";"n";"ind";"ind";"14";"Europe";"adul";"31.95";0,44;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Clark_2006_msd_SPS_post_NA_self-report_Exposure+Appliedrelaxation_wlc_Exposure+Appliedrelaxation_wlc";0,762921360754221;0,324037284422453;NA;"Clark, D. M., Ehlers, A., Hackmann, A., McManus, F., Fennell, M., Grey, N., Waddington, L., & Wild, J. (2006). Cognitive therapy versus exposure and applied relaxation in social phobia: A randomized controlled trial. J Consult Clin Psychol, 74(3), 568-578. https://doi.org/10.1037/0022-006x.74.3.568 "
"75";"Clark, 2006";"cbt";"wlc";"cbt";"wlc";"msd";"SPWSS";"self-report";1,8;1,41;21;4,45;0,94;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,1;0,94;21;4,58;1,16;20;"21";"20";"0";"0";2006;14;"post";"n";"ind";"ind";"14";"Europe";"adul";"31.95";0,44;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Clark_2006_msd_SPWSS_post_NA_self-report_cbt_wlc_cbt_wlc";2,15810328908277;0,39582934078473;NA;"Clark, D. M., Ehlers, A., Hackmann, A., McManus, F., Fennell, M., Grey, N., Waddington, L., & Wild, J. (2006). Cognitive therapy versus exposure and applied relaxation in social phobia: A randomized controlled trial. J Consult Clin Psychol, 74(3), 568-578. https://doi.org/10.1037/0022-006x.74.3.568 "
"76";"Clark, 2006";"Exposure";"wlc";"Exposure + Applied relaxation";"wlc";"msd";"SPWSS";"self-report";3,08;1,16;21;4,45;0,94;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,69;1,15;21;4,58;1,16;20;"21";"20";"2";"0";2006;14;"post";"n";"ind";"ind";"14";"Europe";"adul";"31.95";0,44;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Clark_2006_msd_SPWSS_post_NA_self-report_Exposure+Appliedrelaxation_wlc_Exposure+Appliedrelaxation_wlc";1,26917659415756;0,343578428331902;NA;"Clark, D. M., Ehlers, A., Hackmann, A., McManus, F., Fennell, M., Grey, N., Waddington, L., & Wild, J. (2006). Cognitive therapy versus exposure and applied relaxation in social phobia: A randomized controlled trial. J Consult Clin Psychol, 74(3), 568-578. https://doi.org/10.1037/0022-006x.74.3.568 "
"77";"Clark, 2023";"cbt";"wlc";"cbt(gsh)";"wlc";"msd";"Social anxiety composite clark";"mixed";-1,24;0,84;34;0,64;0,92;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,82;0,58;34;0,69;0,67;34;"34";"34";"0";"0";2022;14;"post";"n";"gsh";"gsh";"8";"Europe";"adul";"32.200000000000003";0,52;"clin";"adul";"Low";"Low";"Low";"Low";"Low";"Low";"Clark_2023_msd_Socialanxietycomposite)_post_NA_mixed_cbt_wlc_cbt(gsh)_wlc";2,10981603203765;0,303831406124323;NA;"Clark, D., Wild, J., Warnock-Parkes, E., Stott, R., Grey, N., Thew, G., & Ehlers, A. (2023). More than doubling the clinical benefit of each hour of therapist time: A randomised controlled trial of internet cognitive therapy for social anxiety disorder. Psychol Med,53(11), 5022-5032. doi:10.1017/S0033291722002008"
"78";"Clark, 2023";"cbt";"wlc";"cbt(ind)";"wlc";"msd";"Social anxiety composite clark";"mixed";-1,71;1,01;34;0,64;0,92;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,71;0,89;34;0,69;0,67;34;"34";"34";"0";"0";2022;14;"post";"n";"ind";"ind";"14";"Europe";"adul";"32.200000000000003";0,52;"clin";"adul";"Low";"Low";"Low";"Low";"Low";"Low";"Clark_2023_msd_Socialanxietycomposite)_post_NA_mixed_cbt_wlc_cbt(ind)_wlc";2,40484152541321;0,319897647156717;NA;"Clark, D., Wild, J., Warnock-Parkes, E., Stott, R., Grey, N., Thew, G., & Ehlers, A. (2023). More than doubling the clinical benefit of each hour of therapist time: A randomised controlled trial of internet cognitive therapy for social anxiety disorder. Psychol Med,53(11), 5022-5032. doi:10.1017/S0033291722002008"
"79";"Craske, 2014";"3rd";"wlc";"3rd";"wlc";"msd";"Composite craske";"mixed";-1;1,09901322594582;29;-0,3;1,02040816326531;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1;1,09901322594582;29;-0,1;1,02040816326531;25;"29";"25";"6";"2";2014;12;"post";"n";"ind";"ind";"12";"North America";"adul";"28.37";0,4598;"com";"adul";"High";"Some concerns";"Low";"High";"Low";"Some concerns";"Craske_2014_msd_composite_post_NA_mixed_3rd_wlc_3rd_wlc";0,648691586924099;0,280168702533901;NA;"Craske, M. G., Niles, A. N., Burklund, L. J., Wolitzky-Taylor, K. B., Vilardaga, J. C., Arch, J. J., Saxbe, D. E., & Lieberman, M. D. (2014). Randomized controlled trial of cognitive behavioral therapy and acceptance and commitment therapy for social phobia: outcomes and moderators. J Consult Clin Psychol, 82(6), 1034-1048. https://doi.org/10.1037/a0037212 "
"80";"Craske, 2014";"cbt";"wlc";"cbt";"wlc";"msd";"Composite craske";"mixed";-1,1;0,879269792837453;33;-0,3;1,02040816326531;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,1;0,879269792837454;33;-0,1;1,02040816326531;25;"33";"25";"12";"2";2014;12;"post";"n";"ind";"ind";"12";"North America";"adul";"28.37";0,4598;"com";"adul";"High";"Some concerns";"Low";"High";"Low";"Some concerns";"Craske_2014_msd_composite_post_NA_mixed_cbt_wlc_cbt_wlc";0,837521056998606;0,27661522031431;NA;"Craske, M. G., Niles, A. N., Burklund, L. J., Wolitzky-Taylor, K. B., Vilardaga, J. C., Arch, J. J., Saxbe, D. E., & Lieberman, M. D. (2014). Randomized controlled trial of cognitive behavioral therapy and acceptance and commitment therapy for social phobia: outcomes and moderators. J Consult Clin Psychol, 82(6), 1034-1048. https://doi.org/10.1037/a0037212 "
"81";"Craske, 2014";"3rd";"wlc";"3rd";"wlc";"msd";"ADIS-FA";"cr";77,4;34,61892;29;99,5;34,18;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;99,2;27,47533;29;103,3;27,55102;25;"29";"25";"6";"2";2014;12;"post";"n";"ind";"ind";"12";"North America";"adul";"28.37";0,4598;"com";"adul";"High";"Some concerns";"Low";"High";"Low";"Some concerns";"Craske_2014_msd_fearandavoidence_post_NA_cr_3rd_wlc_3rd_wlc";0,63281769674081;0,279822380105983;NA;"Craske, M. G., Niles, A. N., Burklund, L. J., Wolitzky-Taylor, K. B., Vilardaga, J. C., Arch, J. J., Saxbe, D. E., & Lieberman, M. D. (2014). Randomized controlled trial of cognitive behavioral therapy and acceptance and commitment therapy for social phobia: outcomes and moderators. J Consult Clin Psychol, 82(6), 1034-1048. https://doi.org/10.1037/a0037212 "
"82";"Craske, 2014";"cbt";"wlc";"cbt";"wlc";"msd";"ADIS-FA";"cr";64,5;36,64;33;99,5;34,18;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;97,1;27,25736;33;103,3;27,55102;25;"33";"25";"12";"2";2014;12;"post";"n";"ind";"ind";"12";"North America";"adul";"28.37";0,4598;"com";"adul";"High";"Some concerns";"Low";"High";"Low";"Some concerns";"Craske_2014_msd_fearandavoidence_post_NA_cr_cbt_wlc_cbt_wlc";0,969741969352077;0,280414919309658;NA;"Craske, M. G., Niles, A. N., Burklund, L. J., Wolitzky-Taylor, K. B., Vilardaga, J. C., Arch, J. J., Saxbe, D. E., & Lieberman, M. D. (2014). Randomized controlled trial of cognitive behavioral therapy and acceptance and commitment therapy for social phobia: outcomes and moderators. J Consult Clin Psychol, 82(6), 1034-1048. https://doi.org/10.1037/a0037212 "
"83";"Davidson, 2004";"cbt";"other ctr";"cbt";"other ctr";"msd";"BSPS";"cr";20,6;9,9;48;26,7;13,5;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39,2;10,4;60;37,3;8,5;60;"60";"60";"12";"24";2004;14;"post";"n";"grp";"grp";"14";"North America";"adul";"36.799999999999997";0,5;"com";"adul";"High";"Low";"Low";"High";"Low";"Some concerns";"Davidson_2004_msd_BSPS_post_NA_cr_cbt_otherctr_cbt_otherctr";0,522191308815482;0,224197291772723;NA;"Davidson, J. R., Foa, E. B., Huppert, J. D., Keefe, F. J., Franklin, M. E., Compton, J. S., Zhao, N., Connor, K. M., Lynch, T. R., & Gadde, K. M. (2004). Fluoxetine, comprehensive cognitive behavioral therapy, and placebo in generalized social phobia. Arch Gen Psychiatry, 61(10), 1005-1013. https://doi.org/10.1001/archpsyc.61.10.1005 "
"84";"Davidson, 2004";"cbt";"other ctr";"cbt";"other ctr";"msd";"SPAI";"self-report";77,1;28,7;48;94,8;28;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;106,1;21,3;60;112;21;60;"60";"60";"12";"24";2004;14;"post";"n";"grp";"grp";"14";"North America";"adul";"36.799999999999997";0,5;"com";"adul";"High";"Low";"Low";"High";"Low";"Some concerns";"Davidson_2004_msd_SPAI_post_NA_self-report_cbt_otherctr_cbt_otherctr";0,617449248872498;0,22566044594666;NA;"Davidson, J. R., Foa, E. B., Huppert, J. D., Keefe, F. J., Franklin, M. E., Compton, J. S., Zhao, N., Connor, K. M., Lynch, T. R., & Gadde, K. M. (2004). Fluoxetine, comprehensive cognitive behavioral therapy, and placebo in generalized social phobia. Arch Gen Psychiatry, 61(10), 1005-1013. https://doi.org/10.1001/archpsyc.61.10.1005 "
"85";"Furmark, 2009";"cbt";"wlc";"cbt (biblio)";"wlc";"msd";"LSAS-SR";"self-report";48,5;27,46;40;70,25;27,25;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68,68;23,87;40;71,28;24,93;40;"40";"40";"1";"1";2009;9;"post";"n";"ush";"ush";"9";"Europe";"adul";"36.133000000000003";0,675;"com";"adul";"Some concerns";"Low";"Low";"Low";"Low";"Some concerns";"Furmark_2009_msd_LSAS-SR_post_NA_self-report_cbt_wlc_cbt(biblio)_wlc";0,787425854390884;0,232273774241352;NA;"Furmark, T., Carlbring, P., Hedman, E., Sonnenstein, A., Clevberger, P., Bohman, B., Eriksson, A., Hallen, A., Frykman, M., Holmstrom, A., Sparthan, E., Tillfors, M., Ihrfelt, E. N., Spak, M., Eriksson, A., Ekselius, L., & Andersson, G. (2009). Guided and unguided self-help for social anxiety disorder: randomised controlled trial. Br J Psychiatry, 195(5), 440-447. https://doi.org/10.1192/bjp.bp.108.060996 "
"86";"Furmark, 2009";"cbt";"wlc";"cbt (internet)";"wlc";"msd";"LSAS-SR";"self-report";50,98;21,12;40;70,25;27,25;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;71,3;22,49;40;71,28;24,93;40;"40";"40";"1";"1";2009;9;"post";"n";"gsh";"gsh";"9";"Europe";"adul";"36.133000000000003";0,675;"com";"adul";"Some concerns";"Low";"Low";"Low";"Low";"Some concerns";"Furmark_2009_msd_LSAS-SR_post_NA_self-report_cbt_wlc_cbt(internet)_wlc";0,782827528695741;0,23217470672345;NA;"Furmark, T., Carlbring, P., Hedman, E., Sonnenstein, A., Clevberger, P., Bohman, B., Eriksson, A., Hallen, A., Frykman, M., Holmstrom, A., Sparthan, E., Tillfors, M., Ihrfelt, E. N., Spak, M., Eriksson, A., Ekselius, L., & Andersson, G. (2009). Guided and unguided self-help for social anxiety disorder: randomised controlled trial. Br J Psychiatry, 195(5), 440-447. https://doi.org/10.1192/bjp.bp.108.060996 "
"87";"Furmark, 2009";"cbt";"wlc";"cbt (biblio)";"wlc";"msd";"SIAS";"self-report";38,25;15,84;40;46,58;18,45;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48,15;14,61;40;46,45;17,9;40;"40";"40";"1";"1";2009;9;"post";"n";"ush";"ush";"9";"Europe";"adul";"36.133000000000003";0,675;"com";"adul";"Some concerns";"Low";"Low";"Low";"Low";"Some concerns";"Furmark_2009_msd_SIAS_post_NA_self-report_cbt_wlc_cbt(biblio)_wlc";0,479781405782349;0,226863068015628;NA;"Furmark, T., Carlbring, P., Hedman, E., Sonnenstein, A., Clevberger, P., Bohman, B., Eriksson, A., Hallen, A., Frykman, M., Holmstrom, A., Sparthan, E., Tillfors, M., Ihrfelt, E. N., Spak, M., Eriksson, A., Ekselius, L., & Andersson, G. (2009). Guided and unguided self-help for social anxiety disorder: randomised controlled trial. Br J Psychiatry, 195(5), 440-447. https://doi.org/10.1192/bjp.bp.108.060996 "
"88";"Furmark, 2009";"cbt";"wlc";"cbt (internet)";"wlc";"msd";"SIAS";"self-report";39,03;14,03;40;46,58;18,45;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50,98;14,21;40;46,45;17,9;40;"40";"40";"1";"1";2009;9;"post";"n";"gsh";"gsh";"9";"Europe";"adul";"36.133000000000003";0,675;"com";"adul";"Some concerns";"Low";"Low";"Low";"Low";"Some concerns";"Furmark_2009_msd_SIAS_post_NA_self-report_cbt_wlc_cbt(internet)_wlc";0,45621202930193;0,226553024017111;NA;"Furmark, T., Carlbring, P., Hedman, E., Sonnenstein, A., Clevberger, P., Bohman, B., Eriksson, A., Hallen, A., Frykman, M., Holmstrom, A., Sparthan, E., Tillfors, M., Ihrfelt, E. N., Spak, M., Eriksson, A., Ekselius, L., & Andersson, G. (2009). Guided and unguided self-help for social anxiety disorder: randomised controlled trial. Br J Psychiatry, 195(5), 440-447. https://doi.org/10.1192/bjp.bp.108.060996 "
"89";"Furmark, 2009";"cbt";"wlc";"cbt (biblio)";"wlc";"msd";"SPS";"self-report";25,9;16,32;40;35,6;16,16;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36,58;15,43;40;36,35;17,1;40;"40";"40";"1";"1";2009;9;"post";"n";"ush";"ush";"9";"Europe";"adul";"36.133000000000003";0,675;"com";"adul";"Some concerns";"Low";"Low";"Low";"Low";"Some concerns";"Furmark_2009_msd_SPS_post_NA_self-report_cbt_wlc_cbt(biblio)_wlc";0,591521817293792;0,228538118429874;NA;"Furmark, T., Carlbring, P., Hedman, E., Sonnenstein, A., Clevberger, P., Bohman, B., Eriksson, A., Hallen, A., Frykman, M., Holmstrom, A., Sparthan, E., Tillfors, M., Ihrfelt, E. N., Spak, M., Eriksson, A., Ekselius, L., & Andersson, G. (2009). Guided and unguided self-help for social anxiety disorder: randomised controlled trial. Br J Psychiatry, 195(5), 440-447. https://doi.org/10.1192/bjp.bp.108.060996 "
"90";"Furmark, 2009";"cbt";"wlc";"cbt (internet)";"wlc";"msd";"SPS";"self-report";25,6;12,22;40;35,6;16,16;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39,15;15,35;40;36,35;17,1;40;"40";"40";"1";"1";2009;9;"post";"n";"gsh";"gsh";"9";"Europe";"adul";"36.133000000000003";0,675;"com";"adul";"Some concerns";"Low";"Low";"Low";"Low";"Some concerns";"Furmark_2009_msd_SPS_post_NA_self-report_cbt_wlc_cbt(internet)_wlc";0,691293540075501;0,230315565844552;NA;"Furmark, T., Carlbring, P., Hedman, E., Sonnenstein, A., Clevberger, P., Bohman, B., Eriksson, A., Hallen, A., Frykman, M., Holmstrom, A., Sparthan, E., Tillfors, M., Ihrfelt, E. N., Spak, M., Eriksson, A., Ekselius, L., & Andersson, G. (2009). Guided and unguided self-help for social anxiety disorder: randomised controlled trial. Br J Psychiatry, 195(5), 440-447. https://doi.org/10.1192/bjp.bp.108.060996 "
"91";"Furmark, 2009";"cbt";"wlc";"cbt (biblio)";"wlc";"msd";"SPSQ";"self-report";21,93;11,32;40;29,73;11,83;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,63;7,99;40;30,28;10,33;40;"40";"40";"1";"1";2009;9;"post";"n";"ush";"ush";"9";"Europe";"adul";"36.133000000000003";0,675;"com";"adul";"Some concerns";"Low";"Low";"Low";"Low";"Some concerns";"Furmark_2009_msd_SPSQ_post_NA_self-report_cbt_wlc_cbt(biblio)_wlc";0,667203886877555;0,229862394003552;NA;"Furmark, T., Carlbring, P., Hedman, E., Sonnenstein, A., Clevberger, P., Bohman, B., Eriksson, A., Hallen, A., Frykman, M., Holmstrom, A., Sparthan, E., Tillfors, M., Ihrfelt, E. N., Spak, M., Eriksson, A., Ekselius, L., & Andersson, G. (2009). Guided and unguided self-help for social anxiety disorder: randomised controlled trial. Br J Psychiatry, 195(5), 440-447. https://doi.org/10.1192/bjp.bp.108.060996 "
"92";"Furmark, 2009";"cbt";"wlc";"cbt (internet)";"wlc";"msd";"SPSQ";"self-report";22,1;8,47;40;29,73;11,83;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32,18;7,16;40;30,28;10,33;40;"40";"40";"1";"1";2009;9;"post";"n";"gsh";"gsh";"9";"Europe";"adul";"36.133000000000003";0,675;"com";"adul";"Some concerns";"Low";"Low";"Low";"Low";"Some concerns";"Furmark_2009_msd_SPSQ_post_NA_self-report_cbt_wlc_cbt(internet)_wlc";0,734479869058181;0,231165806732539;NA;"Furmark, T., Carlbring, P., Hedman, E., Sonnenstein, A., Clevberger, P., Bohman, B., Eriksson, A., Hallen, A., Frykman, M., Holmstrom, A., Sparthan, E., Tillfors, M., Ihrfelt, E. N., Spak, M., Eriksson, A., Ekselius, L., & Andersson, G. (2009). Guided and unguided self-help for social anxiety disorder: randomised controlled trial. Br J Psychiatry, 195(5), 440-447. https://doi.org/10.1192/bjp.bp.108.060996 "
"93";"Gallego, 2011";"cbt";"wlc";NA;NA;"msd";"FNE-B";"self-report";34,75;7,44;12;38,09;9,32;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39,41;9,69;12;41;9,72;11;"24";"17";"11";"6";2011;6;"post";"n";"ush";"ush";NA;"Europe";"adul";"39.29";0,683;"com";"adul";"High";"Some concerns";"High";"High";"Low";"Some concerns";"Gallego_2011_msd_FNE-B_post_NA_self-report_cbt_wlc_NA_NA";0,383797609374175;0,421532060954073;NA;"Gallego, M. J., Gerardus Emmelkamp, P. M., van der Kooij, M., & Mees, H. (2011). The effects of a Dutch version of an Internet-based treatment program for fear of public speaking: A controlled study. Int J Clin Health Psychol, 11(3), 459-472. https://www.redalyc.org/pdf/337/33719289003.pdf"
"94";"Gallego, 2011";"cbt";"wlc";NA;NA;"msd";"PRCS";"self-report";106,38;20,99;13;127,36;18,81;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;133,92;20,37;13;132,09;23,57;11;"24";"17";"11";"6";2011;6;"post";"n";"ush";"ush";NA;"Europe";"adul";"39.29";0,683;"com";"adul";"High";"Some concerns";"High";"High";"Low";"Some concerns";"Gallego_2011_msd_PRCS_post_NA_self-report_cbt_wlc_NA_NA";1,01138496646666;0,436682869739603;NA;"Gallego, M. J., Gerardus Emmelkamp, P. M., van der Kooij, M., & Mees, H. (2011). The effects of a Dutch version of an Internet-based treatment program for fear of public speaking: A controlled study. Int J Clin Health Psychol, 11(3), 459-472. https://www.redalyc.org/pdf/337/33719289003.pdf"
"95";"Gallego, 2011";"cbt";"wlc";NA;NA;"msd";"PSSEQ";"self-report";43;8,94;12;37,5;9,18;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33,67;8,13;12;31,75;8,78;8;"24";"17";"11";"6";2011;6;"post";"n";"ush";"ush";NA;"Europe";"adul";"39.29";0,683;"com";"adul";"High";"Some concerns";"High";"High";"Low";"Some concerns";"Gallego_2011_msd_PSSEQ_post_NA_self-report_cbt_wlc_NA_NA";0,583080870021901;0,466475532399071;NA;"Gallego, M. J., Gerardus Emmelkamp, P. M., van der Kooij, M., & Mees, H. (2011). The effects of a Dutch version of an Internet-based treatment program for fear of public speaking: A controlled study. Int J Clin Health Psychol, 11(3), 459-472. https://www.redalyc.org/pdf/337/33719289003.pdf"
